"germplasmName","FullSampleName"
"TZKBH14HS1218","KBH2014_1218:CA8RLANXX:3:525893"
"TZKBH14HS123","KBH2014_123:CA93YANXX:4:526042"
"TZKBH14HS1230","KBH2014_1230:CA93YANXX:4:526051"
"TZKBH14HS1232","KBH2014_1232:CA93YANXX:4:525980"
"TZKBH14HS1236","KBH2014_1236:CA8RLANXX:5:526140"
"TZKBH14HS124","KBH2014_124:CA93YANXX:4:526028"
"TZKBH14HS1241","KBH2014_1241:CA8RLANXX:5:526107"
"TZKBH14HS1248","KBH2014_1248:CA8RLANXX:5:526071"
"TZKBH14HS1256","KBH2014_1256:CA8RLANXX:5:526143"
"TZKBH14HS126","KBH2014_126:CA93YANXX:4:526047"
"TZKBH14HS1266","KBH2014_1266:CA8RLANXX:3:525880"
"TZKBH14HS1273","KBH2014_1273:CA8RLANXX:5:526125"
"TZKBH14HS1278","KBH2014_1278:CA8RLANXX:5:526067"
"TZKBH14HS1283","KBH2014_1283:CA8RLANXX:5:526080"
"TZKBH14HS1297","KBH2014_1297:CA8RLANXX:5:526074"
"TZKBH14HS1299","KBH2014_1299:CA8RLANXX:5:526145"
"TZKBH14HS130","KBH2014_130:CA8RLANXX:5:526113"
"TZKBH14HS1312","KBH2014_1312:CA8RLANXX:5:526110"
"TZKBH14HS1387","KBH2014_1387:CA8RLANXX:5:526086"
"TZKBH14HS1392","KBH2014_1392:CA8RLANXX:5:526122"
"TZKBH14HS1396","KBH2014_1396:CA8RLANXX:5:526135"
"TZKBH14HS1398","KBH2014_1398:CA8RLANXX:5:526134"
"TZKBH14HS140","KBH2014_140:CA93YANXX:4:526019"
"TZKBH14HS143","KBH2014_143:CA8RLANXX:3:525869"
"TZKBH14HS1431","KBH2014_1431:CA8RLANXX:5:526111"
"TZKBH14HS1435","KBH2014_1435:CA8RLANXX:5:526088"
"TZKBH14HS1440","KBH2014_1440:CA8RLANXX:5:526064"
"TZKBH14HS1443","KBH2014_1443:CA8RLANXX:5:526121"
"TZKBH14HS147","KBH2014_147:CA93YANXX:4:525967"
"TZKBH14HS155","KBH2014_155:CA93YANXX:4:526039"
"TZKBH14HS161","KBH2014_161:CA8RLANXX:5:526101"
"TZKBH14HS173","KBH2014_173:CA93YANXX:4:525994"
"TZKBH14HS174","KBH2014_174:CA93YANXX:4:525979"
"TZKBH14HS176","KBH2014_176:CA93YANXX:4:526048"
"TZKBH14HS180","KBH2014_180:CA8RLANXX:3:525873"
"TZKBH14HS181","KBH2014_181:CA8RLANXX:3:525950"
"TZKBH14HS190","KBH2014_190:CA93YANXX:4:525983"
"TZKBH14HS192","KBH2014_192:CA8RLANXX:3:525870"
"TZKBH14HS196","KBH2014_196:CA8RLANXX:3:525940"
"TZKBH14HS197","KBH2014_197:CA8RLANXX:3:525956"
"TZKBH14HS202","KBH2014_202:CA93YANXX:4:526000"
"TZKBH14HS213","KBH2014_213:CA93YANXX:4:526009"
"TZKBH14HS215","KBH2014_215:CA8RLANXX:3:525920"
"TZKBH14HS220","KBH2014_220:CA8RLANXX:3:525894"
"TZKBH14HS227","KBH2014_227:CA93YANXX:4:526016"
"TZKBH14HS237","KBH2014_237:CA8RLANXX:3:525906"
"TZKBH14HS250","KBH2014_250:CA8RLANXX:3:525942"
"TZKBH14HS251","KBH2014_251:CA8RLANXX:3:525872"
"TZKBH14HS259","KBH2014_259:CA8RLANXX:3:525929"
"TZKBH14HS274","KBH2014_274:CA93YANXX:4:526034"
"TZKBH14HS275","KBH2014_275:CA93YANXX:4:526002"
"TZKBH14HS282","KBH2014_282:CA8RLANXX:5:526126"
"TZKBH14HS286","KBH2014_286:CA8RLANXX:5:526090"
"TZKBH14HS288","KBH2014_288:CA8RLANXX:3:525908"
"TZKBH14HS298","KBH2014_298:CA93YANXX:4:526031"
"TZKBH14HS302","KBH2014_302:CA8RLANXX:3:525895"
"TZKBH14HS317","KBH2014_317:CA8RLANXX:3:525918"
"TZKBH14HS320","KBH2014_320:CA93YANXX:4:526022"
"TZKBH14HS324","KBH2014_324:CA8RLANXX:3:525954"
"TZKBH14HS339","KBH2014_339:CA8RLANXX:5:526065"
"TZKBH14HS341","KBH2014_341:CA93YANXX:4:525961"
"TZKBH14HS342","KBH2014_342:CA8RLANXX:3:525928"
"TZKBH14HS345","KBH2014_345:CA8RLANXX:3:525896"
"TZKBH14HS346","KBH2014_346:CA8RLANXX:5:526057"
"TZKBH14HS348","KBH2014_348:CA93YANXX:4:526023"
"TZKBH14HS349","KBH2014_349:CA93YANXX:4:525973"
"TZKBH14HS351","KBH2014_351:CA93YANXX:4:525978"
"TZKBH14HS353","KBH2014_353:CA8RLANXX:5:526053"
"TZKBH14HS362","KBH2014_362:CA8RLANXX:3:525903"
"TZKBH14HS371","KBH2014_371:CA8RLANXX:3:525949"
"TZKBH14HS374","KBH2014_374:CA8RLANXX:5:526108"
"TZKBH14HS379","KBH2014_379:CA8RLANXX:3:525907"
"TZKBH14HS385","KBH2014_385:CA8RLANXX:3:525889"
"TZKBH14HS387","KBH2014_387:CA93YANXX:4:525957"
"TZKBH14HS392","KBH2014_392:CA8RLANXX:3:525930"
"TZKBH14HS411","KBH2014_411:CA93YANXX:4:526025"
"TZKBH14HS415","KBH2014_415:CA8RLANXX:3:525881"
"TZKBH14HS422","KBH2014_422:CA8RLANXX:3:525866"
"TZKBH14HS425","KBH2014_425:CA8RLANXX:5:526137"
"TZKBH14HS428","KBH2014_428:CA8RLANXX:3:525877"
"TZKBH14HS440","KBH2014_440:CA8RLANXX:3:525927"
"TZKBH14HS446","KBH2014_446:CA93YANXX:4:525996"
"TZKBH14HS449","KBH2014_449:CA8RLANXX:5:526093"
"TZKBH14HS462","KBH2014_462:CA8RLANXX:3:525867"
"TZKBH14HS463","KBH2014_463:CA8RLANXX:5:526127"
"TZKBH14HS477","KBH2014_477:CA93YANXX:4:525988"
"TZKBH14HS478","KBH2014_478:CA93YANXX:4:525992"
"TZKBH14HS484","KBH2014_484:CA8RLANXX:3:525926"
"TZKBH14HS486","KBH2014_486:CA8RLANXX:5:526141"
"TZKBH14HS490","KBH2014_490:CA8RLANXX:5:526105"
"TZKBH14HS491","KBH2014_491:CA8RLANXX:3:525938"
"TZKBH14HS493","KBH2014_493:CA93YANXX:4:525977"
"TZKBH14HS504","KBH2014_504:CA8RLANXX:3:525871"
"TZKBH14HS506","KBH2014_506:CA8RLANXX:6:526215"
"TZKBH14HS510","KBH2014_510:CA8RLANXX:5:526058"
"TZKBH14HS519","KBH2014_519:CA93YANXX:4:526001"
"TZKBH14HS522","KBH2014_522:CA93YANXX:4:525965"
"TZKBH14HS526","KBH2014_526:CA93YANXX:4:526024"
"TZKBH14HS527","KBH2014_527:CA8RLANXX:3:525937"
"TZKBH14HS535","KBH2014_535:CA8RLANXX:6:526151"
"TZKBH14HS537","KBH2014_537:CA8RLANXX:3:525955"
"TZKBH14HS547","KBH2014_547:CA8RLANXX:3:525931"
"TZKBH14HS553","KBH2014_553:CA8RLANXX:3:525878"
"TZKBH14HS558","KBH2014_558:CA93YANXX:4:526018"
"TZKBH14HS567","KBH2014_567:CA8RLANXX:6:526163"
"TZKBH14HS570","KBH2014_570:CA93YANXX:4:526041"
"TZKBH14HS585","KBH2014_585:CA8RLANXX:6:526175"
"TZKBH14HS617","KBH2014_617:CA8RLANXX:6:526187"
"TZKBH14HS620","KBH2014_620:CA8RLANXX:6:526199"
"TZKBH14HS627","KBH2014_627:CA8RLANXX:6:526203"
"TZKBH14HS634","KBH2014_634:CA8RLANXX:6:526223"
"TZKBH14HS636","KBH2014_636:CA8RLANXX:6:526235"
"TZKBH14HS639","KBH2014_639:CA8RLANXX:6:526152"
"TZKBH14HS644","KBH2014_644:CA8RLANXX:3:525882"
"TZKBH14HS645","KBH2014_645:CA8RLANXX:6:526164"
"TZKBH14HS686","KBH2014_686:CA93YANXX:4:526017"
"TZKBH14HS692","KBH2014_692:CA8RLANXX:6:526176"
"TZKBH14HS693","KBH2014_693:CA8RLANXX:6:526188"
"TZKBH14HS694","KBH2014_694:CA93YANXX:4:526050"
"TZKBH14HS696","KBH2014_696:CA93YANXX:4:525990"
"TZKBH14HS699","KBH2014_699:CA8RLANXX:6:526200"
"TZKBH14HS700","KBH2014_700:CA8RLANXX:6:526212"
"TZKBH14HS701","KBH2014_701:CA93YANXX:4:526006"
"TZKBH14HS702","KBH2014_702:CA8RLANXX:6:526224"
"TZKBH14HS703","KBH2014_703:CA8RLANXX:6:526195"
"TZKBH14HS708","KBH2014_708:CA8RLANXX:6:526236"
"TZKBH14HS712","KBH2014_712:CA93YANXX:4:526033"
"TZKBH14HS719","KBH2014_719:CA93YANXX:4:525962"
"TZKBH14HS721","KBH2014_721:CA93YANXX:4:525976"
"TZKBH14HS723","KBH2014_723:CA8RLANXX:6:526238"
"TZKBH14HS727","KBH2014_727:CA8RLANXX:6:526153"
"TZKBH14HS730","KBH2014_730:CA8RLANXX:3:525901"
"TZKBH14HS732","KBH2014_732:CA93YANXX:4:526021"
"TZKBH14HS733","KBH2014_733:CA8RLANXX:6:526181"
"TZKBH14HS735","KBH2014_735:CA8RLANXX:6:526159"
"TZKBH14HS736","KBH2014_736:CA8RLANXX:5:526070"
"TZKBH14HS740","KBH2014_740:CA8RLANXX:6:526202"
"TZKBH14HS742","KBH2014_742:CA8RLANXX:6:526194"
"TZKBH14HS745","KBH2014_745:CA8RLANXX:6:526183"
"TZKBH14HS754","KBH2014_754:CA8RLANXX:6:526165"
"TZKBH14HS756","KBH2014_756:CA8RLANXX:3:525941"
"TZKBH14HS757","KBH2014_757:CA8RLANXX:5:526082"
"TZKBH14HS760","KBH2014_760:CA8RLANXX:6:526156"
"TZKBH14HS762","KBH2014_762:CA8RLANXX:3:525932"
"TZKBH14HS792","KBH2014_792:CA93YANXX:4:525995"
"TZKBH14HS793","KBH2014_793:CA93YANXX:4:526014"
"TZKBH14HS798","KBH2014_798:CA8RLANXX:3:525925"
"TZKBH14HS813","KBH2014_813:CA8RLANXX:6:526158"
"TZKBH14HS813B","KBH2014_813B:CA8RLANXX:6:526171"
"TZKBH14HS815","KBH2014_815:CA93YANXX:4:526011"
"TZKBH14HS816","KBH2014_816:CA8RLANXX:6:526192"
"TZKBH14HS825","KBH2014_825:CA8RLANXX:6:526240"
"TZKBH14HS829","KBH2014_829:CA8RLANXX:6:526204"
"TZKBH14HS832","KBH2014_832:CA8RLANXX:6:526191"
